Index	X	Y	Z	cost	equivalent_radius	branch_id	vadose_flag
21	408.8864440918	611.0459594727	384.9800109863	0.1755248904	0.0000000000	6.0000000000	1.0000000000
21	407.6907348633	610.4412231445	389.9432373047	0.0714769661	0.0000000000	6.0000000000	1.0000000000
22	407.6907348633	610.4412231445	389.9432373047	0.0714769661	0.0000000000	6.0000000000	1.0000000000
22	407.5666198730	611.9595336914	398.9438171387	0.1206521690	0.0000000000	6.0000000000	1.0000000000
23	407.5666198730	611.9595336914	398.9438171387	0.1206521690	0.0000000000	6.0000000000	1.0000000000
23	404.5363769531	610.2890014648	409.5881652832	0.0901238620	0.0000000000	6.0000000000	1.0000000000
24	404.5363769531	610.2890014648	409.5881652832	0.0901238620	0.0000000000	6.0000000000	1.0000000000
24	409.0054931641	612.7498168945	420.3016662598	0.1599584818	0.0000000000	6.0000000000	1.0000000000
25	409.0054931641	612.7498168945	420.3016662598	0.1599584818	0.0000000000	6.0000000000	1.0000000000
25	411.0933227539	613.8931274414	421.5869445801	0.0634619966	0.0000000000	6.0000000000	1.0000000000
26	578.1740112305	576.5009765625	357.7210083008	0.2216272354	0.0000000000	3.0000000000	0.0000000000
26	565.9500122070	570.3449707031	358.2739868164	0.1688098907	0.0000000000	3.0000000000	0.0000000000
27	565.9500122070	570.3449707031	358.2739868164	0.1688098907	0.0000000000	3.0000000000	0.0000000000
27	554.3024902344	564.5119628906	358.8015136719	0.1606588364	0.0000000000	3.0000000000	0.0000000000
28	554.3024902344	564.5119628906	358.8015136719	0.1606588364	0.0000000000	3.0000000000	0.0000000000
28	547.0659790039	560.1510009766	359.1289978027	0.1041293144	0.0000000000	3.0000000000	0.0000000000
29	547.0659790039	560.1510009766	359.1289978027	0.1041293144	0.0000000000	3.0000000000	0.0000000000
29	538.7379760742	554.8444824219	359.5054931641	0.1217331886	0.0000000000	3.0000000000	0.0000000000
30	538.7379760742	554.8444824219	359.5054931641	0.1217331886	0.0000000000	3.0000000000	0.0000000000
30	530.4099731445	549.5380249023	359.8819885254	0.1217327118	0.0000000000	3.0000000000	0.0000000000
31	530.4099731445	549.5380249023	359.8819885254	0.1217327118	0.0000000000	3.0000000000	0.0000000000
31	529.7924804688	542.0140380859	359.9099731445	0.0929512978	0.0000000000	3.0000000000	0.0000000000
32	529.7924804688	542.0140380859	359.9099731445	0.0929512978	0.0000000000	3.0000000000	0.0000000000
32	521.6829833984	537.3664550781	360.2769775391	0.1152181625	0.0000000000	3.0000000000	0.0000000000
33	521.6829833984	537.3664550781	360.2769775391	0.1152181625	0.0000000000	3.0000000000	0.0000000000
33	513.7374877930	531.9924926758	360.6369934082	0.1182394028	0.0000000000	3.0000000000	0.0000000000
34	513.7374877930	531.9924926758	360.6369934082	0.1182394028	0.0000000000	3.0000000000	0.0000000000
34	505.1074829102	526.4410400391	361.0280151367	0.1265039444	0.0000000000	3.0000000000	0.0000000000
35	505.1074829102	526.4410400391	361.0280151367	0.1265039444	0.0000000000	3.0000000000	0.0000000000
35	494.5625000000	521.5135498047	361.5050048828	0.1435351372	0.0000000000	3.0000000000	0.0000000000
36	494.5625000000	521.5135498047	361.5050048828	0.1435351372	0.0000000000	3.0000000000	0.0000000000
36	480.6685180664	512.7144775391	362.1340026855	0.2028641701	0.0000000000	3.0000000000	0.0000000000
37	480.6685180664	512.7144775391	362.1340026855	0.2028641701	0.0000000000	3.0000000000	0.0000000000
37	468.5429992676	506.3120117188	362.6830139160	0.1691217422	0.0000000000	3.0000000000	0.0000000000
38	468.5429992676	506.3120117188	362.6830139160	0.1691217422	0.0000000000	3.0000000000	0.0000000000
38	464.9891052246	504.3353576660	362.0449829102	0.0535039902	0.0000000000	3.0000000000	0.0000000000
39	464.9891052246	504.3353576660	362.0449829102	0.0535039902	0.0000000000	3.0000000000	0.0000000000
39	452.9335021973	498.1489868164	363.3889770508	0.1678099632	0.0000000000	3.0000000000	0.0000000000
40	452.9335021973	498.1489868164	363.3889770508	0.1678099632	0.0000000000	3.0000000000	0.0000000000
40	438.9960021973	490.6235046387	364.0199890137	0.1953883171	0.0000000000	3.0000000000	0.0000000000
41	438.9960021973	490.6235046387	364.0199890137	0.1953883171	0.0000000000	3.0000000000	0.0000000000
41	433.4700012207	479.0750122070	364.2699890137	0.1972432137	0.0000000000	3.0000000000	0.0000000000
42	433.4700012207	479.0750122070	364.2699890137	0.1972432137	0.0000000000	3.0000000000	0.0000000000
42	425.3517761230	474.6347656250	363.6702270508	0.1220946312	0.0000000000	3.0000000000	0.0000000000
43	425.3517761230	474.6347656250	363.6702270508	0.1220946312	0.0000000000	3.0000000000	0.0000000000
43	410.7112121582	465.8059082031	364.3063659668	0.2258219719	0.0000000000	3.0000000000	0.0000000000
44	410.7112121582	465.8059082031	364.3063659668	0.2258219719	0.0000000000	3.0000000000	0.0000000000
44	407.3733825684	460.5504150391	364.7579040527	0.0998826027	0.0000000000	3.0000000000	0.0000000000
45	407.3733825684	460.5504150391	364.7579040527	0.0998826027	0.0000000000	3.0000000000	0.0000000000
45	397.9165039062	454.1340026855	365.8789978027	0.1414847374	0.0000000000	3.0000000000	0.0000000000
46	397.9165039062	454.1340026855	365.8789978027	0.1414847374	0.0000000000	3.0000000000	0.0000000000
46	382.9244995117	446.8475036621	366.5574951172	0.2284870148	0.0000000000	8.0000000000	0.0000000000
47	397.9165039062	454.1340026855	365.8789978027	0.1414847374	0.0000000000	3.0000000000	0.0000000000
47	397.3040161133	445.0975036621	365.9069824219	0.1239514351	0.0000000000	9.0000000000	0.0000000000
48	382.9244995117	446.8475036621	366.5574951172	0.2284870148	0.0000000000	8.0000000000	0.0000000000
48	375.7969970703	442.4179992676	366.8800048828	0.1149129868	0.0000000000	8.0000000000	0.0000000000
49	375.7969970703	442.4179992676	366.8800048828	0.1149129868	0.0000000000	8.0000000000	0.0000000000
49	364.3337402344	434.6867065430	365.6329345703	0.2131032944	0.0000000000	8.0000000000	0.0000000000
50	364.3337402344	434.6867065430	365.6329345703	0.2131032944	0.0000000000	8.0000000000	0.0000000000
50	349.1311950684	427.4185791016	366.9320983887	0.2503695488	0.0000000000	8.0000000000	0.0000000000
51	349.1311950684	427.4185791016	366.9320983887	0.2503695488	0.0000000000	8.0000000000	0.0000000000
51	344.5343322754	425.0320434570	369.7812500000	0.1017591953	0.0000000000	8.0000000000	0.0000000000
52	344.5343322754	425.0320434570	369.7812500000	0.1017591953	0.0000000000	8.0000000000	0.0000000000
52	331.8251342773	419.0470275879	367.2260742188	0.2176873684	0.0000000000	8.0000000000	0.0000000000
53	331.8251342773	419.0470275879	367.2260742188	0.2176873684	0.0000000000	8.0000000000	0.0000000000
53	318.6807861328	410.2166748047	367.4394226074	0.2465825081	0.0000000000	8.0000000000	0.0000000000
54	318.6807861328	410.2166748047	367.4394226074	0.2465825081	0.0000000000	8.0000000000	0.0000000000
54	309.7003173828	405.0720520020	369.2253723145	0.1505036354	0.0000000000	8.0000000000	0.0000000000
55	309.7003173828	405.0720520020	369.2253723145	0.1505036354	0.0000000000	8.0000000000	0.0000000000
55	301.8695678711	402.0469665527	368.2951660156	0.1596260071	0.0000000000	8.0000000000	0.0000000000
56	301.8695678711	402.0469665527	368.2951660156	0.1596260071	0.0000000000	8.0000000000	0.0000000000
56	294.2774963379	398.3320007324	370.5700073242	0.1197803020	0.0000000000	8.0000000000	0.0000000000
57	294.2774963379	398.3320007324	370.5700073242	0.1197803020	0.0000000000	8.0000000000	0.0000000000
57	283.4302062988	391.0978698730	370.2513427734	0.1889784336	0.0000000000	8.0000000000	0.0000000000
58	283.4302062988	391.0978698730	370.2513427734	0.1889784336	0.0000000000	8.0000000000	0.0000000000
58	271.8045654297	385.3338623047	371.0842895508	0.1845805645	0.0000000000	8.0000000000	0.0000000000
