Index	X	Y	Z	cost	equivalent_radius	branch_id	vadose_flag
25	498.2760009766	537.6190185547	292.0530090332	0.0865821838	0.0000000000	2.0000000000	1.0000000000
26	498.2760009766	537.6190185547	292.0530090332	0.0865821838	0.0000000000	2.0000000000	1.0000000000
26	495.4790039062	541.2169799805	298.9219970703	0.1089100838	0.0000000000	2.0000000000	1.0000000000
27	495.4790039062	541.2169799805	298.9219970703	0.1089100838	0.0000000000	2.0000000000	1.0000000000
27	491.8129882812	546.2630004883	307.5750122070	0.1440110207	0.0000000000	2.0000000000	1.0000000000
28	491.8129882812	546.2630004883	307.5750122070	0.1440110207	0.0000000000	2.0000000000	1.0000000000
28	488.1480102539	550.0490112305	314.2189941406	0.1159377098	0.0000000000	2.0000000000	1.0000000000
29	488.1480102539	550.0490112305	314.2189941406	0.1159377098	0.0000000000	2.0000000000	1.0000000000
29	483.7980041504	551.4869995117	324.3039855957	0.1427700520	0.0000000000	2.0000000000	1.0000000000
30	483.7980041504	551.4869995117	324.3039855957	0.1427700520	0.0000000000	2.0000000000	1.0000000000
30	479.8460083008	555.7189941406	334.1350097656	0.1504919529	0.0000000000	2.0000000000	1.0000000000
31	479.8460083008	555.7189941406	334.1350097656	0.1504919529	0.0000000000	2.0000000000	1.0000000000
31	475.2349853516	560.7579956055	343.8919982910	0.1602129936	0.0000000000	2.0000000000	1.0000000000
32	475.2349853516	560.7579956055	343.8919982910	0.1602129936	0.0000000000	2.0000000000	1.0000000000
32	472.9410095215	562.2730102539	352.1510009766	0.1101326942	0.0000000000	2.0000000000	1.0000000000
33	472.9410095215	562.2730102539	352.1510009766	0.1101326942	0.0000000000	2.0000000000	1.0000000000
33	470.8179931641	564.0750122070	356.4649963379	0.0684070587	0.0000000000	2.0000000000	1.0000000000
34	470.8179931641	564.0750122070	356.4649963379	0.0684070587	0.0000000000	2.0000000000	1.0000000000
34	465.2999877930	569.4569702148	363.8479919434	0.1519711018	0.0000000000	2.0000000000	1.0000000000
35	465.2999877930	569.4569702148	363.8479919434	0.1519711018	0.0000000000	2.0000000000	1.0000000000
35	461.7539978027	571.5330200195	372.2799987793	0.1215636730	0.0000000000	2.0000000000	1.0000000000
36	461.7539978027	571.5330200195	372.2799987793	0.1215636730	0.0000000000	2.0000000000	1.0000000000
36	454.4899902344	574.7839965820	380.5889892578	0.1616544724	0.0000000000	2.0000000000	1.0000000000
37	454.4899902344	574.7839965820	380.5889892578	0.1616544724	0.0000000000	2.0000000000	1.0000000000
37	452.5780029297	575.5089721680	383.6990051270	0.0496923923	0.0000000000	2.0000000000	1.0000000000
38	452.5780029297	575.5089721680	383.6990051270	0.0496923923	0.0000000000	2.0000000000	1.0000000000
38	444.3659973145	581.5070190430	392.7030029297	0.1958050728	0.0000000000	2.0000000000	1.0000000000
39	444.3659973145	581.5070190430	392.7030029297	0.1958050728	0.0000000000	2.0000000000	1.0000000000
39	438.2090148926	586.0050048828	404.7680053711	0.1129490733	0.0000000000	4.0000000000	1.0000000000
40	444.3659973145	581.5070190430	392.7030029297	0.1958050728	0.0000000000	2.0000000000	1.0000000000
40	441.2420043945	589.0999755859	404.7709960938	0.1173653603	0.0000000000	5.0000000000	1.0000000000
41	438.2090148926	586.0050048828	404.7680053711	0.1129490733	0.0000000000	4.0000000000	1.0000000000
41	425.5759887695	597.4840087891	407.1440124512	0.2199470699	0.0000000000	4.0000000000	1.0000000000
42	425.5759887695	597.4840087891	407.1440124512	0.2199470699	0.0000000000	4.0000000000	1.0000000000
