Index	X	Y	Z	cost	equivalent_radius	branch_id	vadose_flag
30	413.4500122070	615.5079956055	416.4179992676	0.0528917573	0.0000000000	21.0000000000	1.0000000000
31	413.4500122070	615.5079956055	416.4179992676	0.0528917573	0.0000000000	21.0000000000	1.0000000000
31	411.0933227539	613.8931274414	421.5869445801	0.1231395230	0.0000000000	22.0000000000	1.0000000000
32	777.9340820312	409.0029296875	249.4724731445	0.0258891582	0.0000000000	261820.0000000000	0.0000000000
32	774.3930053711	409.0469970703	249.6269989014	0.0258891582	0.0000000000	23.0000000000	0.0000000000
33	774.3930053711	409.0469970703	249.6269989014	0.0258891582	0.0000000000	23.0000000000	0.0000000000
33	761.2730102539	408.9490051270	250.2209930420	0.0905986428	0.0000000000	23.0000000000	0.0000000000
34	761.2730102539	408.9490051270	250.2209930420	0.0905986428	0.0000000000	23.0000000000	0.0000000000
34	747.1929931641	412.0010070801	250.8580017090	0.1262844801	0.0000000000	23.0000000000	0.0000000000
35	761.2730102539	408.9490051270	250.2209930420	0.0905986428	0.0000000000	23.0000000000	0.0000000000
35	745.3330078125	405.6640014648	250.9429931641	0.1275281310	0.0000000000	23.0000000000	0.0000000000
36	747.1929931641	412.0010070801	250.8580017090	0.1262844801	0.0000000000	23.0000000000	0.0000000000
36	730.4739990234	420.5260009766	251.6150054932	0.1468741447	0.0000000000	23.0000000000	0.0000000000
37	730.4739990234	420.5260009766	251.6150054932	0.1468741447	0.0000000000	23.0000000000	0.0000000000
37	716.5330200195	424.4360046387	251.7200012207	0.1012217477	0.0000000000	23.0000000000	0.0000000000
38	716.5330200195	424.4360046387	251.7200012207	0.1012217477	0.0000000000	23.0000000000	0.0000000000
38	704.6199951172	427.1289978027	252.7850036621	0.0794224739	0.0000000000	23.0000000000	1.0000000000
39	704.6199951172	427.1289978027	252.7850036621	0.0794224739	0.0000000000	23.0000000000	1.0000000000
39	697.8469848633	427.7189941406	253.6049957275	0.0794224739	0.0000000000	23.0000000000	1.0000000000
40	697.8469848633	427.7189941406	253.6049957275	0.0794224739	0.0000000000	23.0000000000	1.0000000000
40	694.0529785156	428.8729858398	254.6799926758	0.0463700294	0.0000000000	23.0000000000	1.0000000000
41	694.0529785156	428.8729858398	254.6799926758	0.0463700294	0.0000000000	23.0000000000	1.0000000000
41	678.6500244141	441.0620117188	258.7600097656	0.2602148056	0.0000000000	23.0000000000	1.0000000000
42	678.6500244141	441.0620117188	258.7600097656	0.1319160461	0.0000000000	23.0000000000	0.0000000000
42	663.9530029297	449.2399902344	258.4609985352	0.1221736073	0.0000000000	23.0000000000	0.0000000000
43	678.6500244141	441.0620117188	258.7600097656	0.1319160461	0.0000000000	23.0000000000	0.0000000000
43	677.7760009766	431.5769958496	258.7709960938	0.1555688381	0.0000000000	23.0000000000	0.0000000000
44	663.9530029297	449.2399902344	258.4609985352	0.1221736073	0.0000000000	23.0000000000	0.0000000000
44	647.5319824219	452.6029968262	260.3720092773	0.0734380484	0.0000000000	23.0000000000	0.0000000000
45	647.5319824219	452.6029968262	260.3720092773	0.0734380484	0.0000000000	23.0000000000	0.0000000000
45	640.2550048828	458.8389892578	262.2650146484	0.0885009766	0.0000000000	23.0000000000	0.0000000000
46	640.2550048828	458.8389892578	262.2650146484	0.0885009766	0.0000000000	23.0000000000	0.0000000000
46	630.5910034180	465.8280029297	262.9179992676	0.0885009766	0.0000000000	23.0000000000	0.0000000000
47	630.5910034180	465.8280029297	262.9179992676	0.0885009766	0.0000000000	23.0000000000	0.0000000000
47	612.0460205078	473.6390075684	266.1430053711	0.0000000000	0.0000000000	23.0000000000	-1.0000000000
48	612.0460205078	473.6390075684	266.1430053711	0.2447938919	0.0000000000	23.0000000000	1.0000000000
48	601.1350097656	476.5450134277	266.7170104980	0.1359367371	0.0000000000	23.0000000000	1.0000000000
49	601.1350097656	476.5450134277	266.7170104980	0.1359367371	0.0000000000	23.0000000000	1.0000000000
49	588.1250000000	483.5090026855	268.6340026855	0.1721305847	0.0000000000	23.0000000000	1.0000000000
50	588.1250000000	483.5090026855	268.6340026855	0.1283833981	0.0000000000	23.0000000000	1.0000000000
50	578.9979858398	488.7940063477	273.4440002441	0.1283833981	0.0000000000	23.0000000000	1.0000000000
51	578.9979858398	488.7940063477	273.4440002441	0.1283833981	0.0000000000	23.0000000000	1.0000000000
