Index	X	Y	Z
210	257.495	156.42	29.7723
211	223.677	153.039	40.7961
212	26.2107	409.541	28.1875
213	46.9188	381.871	49.8742
214	40.218	329.52	34.3256
215	8.74297	379.137	40.71
216	128.741	183.659	8.54145
217	157.363	134.612	27.6488
218	152.153	179.57	50.9262
219	163.648	203.129	57.9265
220	184.664	221.938	64.8522
221	214.385	190.921	63.7789
222	195.428	313.561	32.1421
223	159.214	332.238	29.7288
224	219.993	250.393	1.34504
225	235.571	306.876	3.02382
226	219.295	287.232	0.375581
227	85.6762	261.569	50.649
228	110.047	273.851	56.7649
229	122.295	221.974	44.9657
230	255.639	184	0.272641
231	268.359	179.694	17.5521
232	187.023	332.488	44.3094
233	184.877	358.292	49.6073
234	158.844	372.449	38.6458
235	34.1462	153.014	31.1847
236	27.9625	170.949	38.4722
237	13.5745	171.502	15.7142
238	232.752	342.459	1.85479
239	247.459	324.668	8.36372
240	95.622	237.67	72.2144
241	266.164	155.04	40.0546
242	217.206	112.274	49.1268
243	250.418	127.574	43.9027
244	195.555	175.059	53.2021
245	72.7957	124.992	15.117
246	57.6076	152.836	0.451462
247	128.815	330.28	1.51603
248	163.527	308.972	40.6901
249	128.118	341.521	49.2635
250	66.1408	437.67	31.6514
251	39.124	401.522	40.6277
252	88.6088	425.798	29.3706
253	26.6068	112.011	25.4426
254	13.5821	158.799	0.289249
255	58.1684	342.894	49.5976
256	63.4689	343.262	32.8602
257	16.2875	355.329	34.8132
258	48.6878	322.514	45.764
259	20.811	328.329	20.6897
260	119.355	153.796	8.9069
261	204.634	224.251	39.4223
262	203.104	282.795	28.3807
263	178.482	224.652	40.2434
264	219.14	251.046	53.6091
265	172.344	318.747	63.1405
266	229.78	332.418	44.9556
267	97.7437	250.697	58.6752
268	118.192	303.57	76.7773
269	130.745	374.037	8.60547
270	219.348	336.656	33.6913
271	190.107	230.243	49.0638
272	156.007	163.341	67.071
273	184.595	193.947	75.8137
274	230.865	306.389	15.833
275	253.918	274.29	22.103
276	263.408	294.589	12.6239
277	209.554	276.593	18.6452
278	182.583	288.946	21.0925
279	38.1826	238.887	50.0772
280	80.0041	186.747	53.0888
281	93.2884	195.365	72.2437
282	115.429	250.767	78.906
283	66.6142	248.026	84.1829
284	238.852	364.642	6.673
285	271.099	326.519	7.29309
286	215.477	215.823	66.4845
287	158.474	214.74	81.3701
288	177.137	247.542	78.687
289	219.216	220.736	56.3085
290	186.304	197.846	61.9822
291	136.92	349.265	9.33938
292	97.2502	159.885	20.4076
293	79.5879	157.834	36.0665
294	81.3157	209.074	11.2975
295	140.787	225.942	63.5207
296	141.045	201.671	55.7193
297	104.5	193.311	57.4765
298	162.982	351.886	45.9405
299	4.21653	390.584	19.829
300	136.693	155.141	46.6266
301	17.0788	330.414	32.0393
302	82.3566	346.495	43.8282
303	91.4152	306.45	6.85455
304	133.282	307.971	88.1442
305	122.111	411.974	15.6124
306	105.49	410.912	5.31546
307	65.9976	441.372	19.2334
308	21.5734	272.038	12.8495
309	14.1452	291.837	8.0658
310	178.704	143.776	72.2012
311	136.493	150.754	69.1181
312	154.879	117.162	69.9044
313	75.1838	184.183	40.5342
314	175.162	168	43.5032
315	226.683	200.024	34.0527
316	8.82903	421.185	44.1571
317	69.6695	151.537	22.0777
318	23.595	125.242	39.2908
319	63.5031	152.447	45.0203
320	8.06402	185.971	49.7019
321	41.0391	138.767	41.8828
322	198.909	74.8831	19.8999
323	145.683	102.419	21.003
324	245.61	172.283	22.4007
325	274.318	140.618	12.6908
326	287.41	179.823	11.4588
327	89.3512	364.235	54.1284
328	66.1513	129.532	3.70571
329	75.8839	287.27	50.4517
330	78.1097	322.077	32.1122
331	114.308	203.407	81.9414
332	122.812	188.732	68.229
333	121.085	223.384	88.6428
334	226.473	111.278	0.856523
335	108.957	321.16	39.8978
336	124.94	172.486	79.8665
337	143.476	183.254	85.0625
338	146.732	128.475	56.6516
339	196.891	169.714	72.6391
340	62.9649	446.478	6.79071
341	36.8357	400.773	1.12088
342	85.7259	425.757	15.7338
343	19.8003	421.442	9.75334
344	271.715	191.372	27.4798
345	253.591	219.357	26.2482
346	250.352	239.521	4.05402
347	35.3302	190.999	65.815
348	18.0157	228.247	48.2193
349	256.801	297.834	40.5241
350	232.382	283.417	35.8167
351	273.85	242.434	43.29
352	272.616	261.352	18.3556
353	105.568	100.191	0.0250253
354	126.821	68.3565	18.1963
355	101.079	302.616	54.6141
356	107.82	333.069	64.6287
357	123.032	372.247	53.9736
358	258.235	120.227	8.06945
